Recording	Dzimums	Dzirdes_traucējumi	Labrocis_vai_kreilis	Muzikālā_izglītība	Pazīst_nošu_partitūru	Spēlē_klavieres	Vecums	Participant	TOI	Interval	Stimulus_template	Row_number	Duration_of_interval	Start_of_interval	Last_key_press	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Number_of_whole_fixations	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Average_whole-fixation_eye_openness	Number_of_saccades	Average_peak_velocity_of_saccades	Minimum_peak_velocity_of_saccades	Maximum_peak_velocity_of_saccades	Standard_deviation_of_peak_velocity_of_saccades	Average_amplitude_of_saccades	Minimum_amplitude_of_saccades	Maximum_amplitude_of_saccades	Total_amplitude_of_saccades	Time_to_first_saccade	Direction_of_first_saccade	Peak_velocity_of_first_saccade	Average_velocity_of_first_saccade	Amplitude_of_first_saccade
Recording16	Vīrietis	Nē	labrocis	Nē	Jā	Jā	35	Participant16	CircleBig	2	ObjectSize	3	2017	173975		0		0				0													
Recording17	Vīrietis	Nē	labrocis	Jā	Jā	Jā	35	Participant17	CircleBig	1	ObjectSize	3	2017	192282		290	290	1	290	2,69246	9,90095	1	102,51	102,51	102,51		1,63	1,63	1,63	1,63	317	110	102,51	74,52	1,63
Recording17	Vīrietis	Nē	labrocis	Jā	Jā	Jā	35	Participant17	CircleBig	2	ObjectSize	1	2000	194932		0		0				0													
Recording18	Vīrietis	Nē	labrocis	Nē	Nē	Nē	25	Participant18	CircleBig	1	ObjectSize	3	2017	116942		437	437	1	437	2,49369	9,28738	2	149,53	121,76	177,31	39,28	3,78	2,96	4,6	7,56	899	358,65	121,76	81,83	2,96
Recording18	Vīrietis	Nē	labrocis	Nē	Nē	Nē	25	Participant18	CircleBig	2	ObjectSize	1	2000	122225		650	325	2	283	2,58181	9,22805	3	101,19	41,65	176,1	68,53	2,6	0,85	4,48	7,8	759	6,09	85,82	65,05	2,47
Recording19	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant19	CircleBig	1	ObjectSize	3	2017	132986		380	380	1	380	2,47065	10,22638	2	46,46	43,24	49,68	4,56	0,63	0,58	0,68	1,26	408	158,95	43,24	42,7	0,58
Recording19	Sieviete	Nē	labrocis	Jā	Jā	Jā	35	Participant19	CircleBig	2	ObjectSize	1	2017	135636		400	400	1	400	2,45738	10,0156	0													
Recording20	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant20	CircleBig	1	ObjectSize	3	2017	103978		1383	692	2	547	2,79726	8,75979	3	77,5	53,63	94,68	21,33	1,87	1,3	2,45	5,62	238	100,6	94,68	70,35	2,45
Recording20	Sieviete	Nē	labrocis	Nē	Jā	Jā	22	Participant20	CircleBig	2	ObjectSize	1	2017	106628		940	940	1	940	2,7997	8,56296	1	83,47	83,47	83,47		2,18	2,18	2,18	2,18	1348	272,49	83,47	62,05	2,18
Recording21	Sieviete	Nē	labrocis	Nē	Jā	Jā	25	Participant21	CircleBig	1	ObjectSize	1	2017	99307		1267	253	5	423	2,73532	11,17256	6	173,55	103,12	223,96	44,45	3,64	2,82	4,89	21,82	546	267,92	103,12	64,57	2,89
Recording21	Sieviete	Nē	labrocis	Nē	Jā	Jā	25	Participant21	CircleBig	2	ObjectSize	3	2000	104590		1477	295	5	243	2,60371	11,27401	3	79,56	61,16	98,91	18,89	1,76	1,44	2,06	5,28	623	271,4	98,91	59,64	1,78
